15906705;5429.83
15907025;5429.41
15907345;5428.99
15907665;5428.57
15907985;5428.15
15908305;5427.73
15908625;5427.31
15908945;5426.88
15909265;5426.46
15909585;5426.03
15909905;5425.61
15910225;5425.18
15910545;5424.76
15910865;5424.33
15911185;5423.90
15911505;5423.47
15911825;5423.04
15912145;5422.61
15912465;5422.18
15912785;5421.75
15913105;5421.31
15913425;5420.88
15913745;5420.44
15914065;5420.01
15914385;5419.57
15914705;5419.14
15915025;5418.70
15915345;5418.26
15915665;5417.82
15915985;5417.38
15916305;5416.94
15916625;5416.50
15916945;5416.06
15917255;5415.64
15917565;5415.19
15917885;5414.75
15918215;5414.30
15918535;5413.86
15918845;5413.41
15919165;5412.96
15919495;5412.51
15919815;5412.06
15920125;5411.61
15920445;5411.16
15920775;5410.71
15921095;5410.26
15921405;5409.81
15921725;5409.35
15922055;5408.90
15922375;5408.44
15922685;5407.98
15923005;5407.53
15923335;5407.07
15923655;5406.61
15923965;5406.15
15924285;5405.69
15924615;5405.23
15924935;5404.77
15925255;5404.30
15925565;5403.84
15925885;5403.37
15926215;5402.91
15926535;5402.44
15926845;5401.97
15927165;5401.51
15927495;5401.04
15927815;5400.57
15928125;5400.10
15928445;5399.62
15928775;5399.15
15929095;5398.68
15929405;5398.20
15929725;5397.73
15930055;5397.25
15930375;5396.78
15930685;5396.30
15931005;5395.82
15931335;5395.34
15931655;5394.86
15931965;5394.38
15932285;5393.90
15932615;5393.41
15932935;5392.93
15933255;5392.45
15933565;5391.96
15933875;5391.50
15934195;5391.01
15934515;5390.52
15934835;5390.03
15935155;5389.54
15935475;5389.05
15935795;5388.56
15936115;5388.07
15936435;5387.57
15936755;5387.08
15937075;5386.58
15937395;5386.09
15937715;5385.59
15938035;5385.09
15938355;5384.59
15938675;5384.09
15938995;5383.59
15939315;5383.09
15939635;5382.58
15939955;5382.08
15940275;5381.57
15940595;5381.07
15940915;5380.56
15941235;5380.05
15941555;5379.54
15941875;5379.04
15942195;5378.52
15942515;5378.01
15942835;5377.50
15943155;5376.99
15943475;5376.47
15943795;5375.95
15944115;5375.44
15944435;5374.92
15944755;5374.40
15945075;5373.88
15945395;5373.36
15945715;5372.83
15946035;5372.31
15946355;5371.79
15946675;5371.26
15946995;5370.73
15947315;5370.21
15947635;5369.68
15947955;5369.15
15948275;5368.61
15948595;5368.08
15948915;5367.55
15949235;5367.01
15949555;5366.48
15949875;5365.94
15950195;5365.40
15950495;5364.89
15950815;5364.35
15951135;5363.81
15951465;5363.26
15951785;5362.72
15952095;5362.18
15952415;5361.63
15952745;5361.08
15953065;5360.53
15953375;5359.98
15953695;5359.43
15954025;5358.88
15954345;5358.33
15954655;5357.77
15954975;5357.22
15955305;5356.66
15955625;5356.10
15955935;5355.54
15956255;5354.98
15956585;5354.42
15956905;5353.86
15957215;5353.29
15957535;5352.73
15957865;5352.16
15958185;5351.59
15958495;5351.02
15958815;5350.45
15959135;5349.88
15959465;5349.30
15959785;5348.73
15960095;5348.15
15960415;5347.57
15960745;5347.00
15961065;5346.41
15961375;5345.83
15961695;5345.25
15962025;5344.66
15962345;5344.08
15962655;5343.49
15962975;5342.90
15963305;5342.31
15963625;5341.72
15963935;5341.12
15964255;5340.53
15964585;5339.93
15964905;5339.33
15965215;5338.73
15965535;5338.13
15965865;5337.52
15966185;5336.92
15966495;5336.31
15966815;5335.70
15967255;5334.87
15967565;5334.26
15967885;5333.64
15968215;5333.03
15968535;5332.40
15968845;5331.78
15969165;5331.16
15969495;5330.53
15969815;5329.90
15970125;5329.27
15970445;5328.63
15970775;5328.00
15971095;5327.36
15971405;5326.72
15971725;5326.08
